node,SessionID,n_measurements,median_level_dbm,median_snr,median_cqi,link_distance_m,median_speed_kmh,network_tech,operator,lon,lat,hand_m,slope_deg,tri,dist_water_m,dist_power_m,physical_site_group,session_ts
16161,15,13,-85.0,-4.0,9.0,25.29926707981761,43.0,4G,Operator A,101.5939899,3.05895633,2.048181534,5.173506655643543,13.930692243760252,266.4855344810989,662.4313391769393,16161,2025-01-16T13:35:25Z
16161,17,10,-89.0,-2.0,7.0,117.68329587027516,41.0,4G,Operator A,101.5939899,3.05895633,2.048181534,5.173506655643543,13.930692243760252,266.4855344810989,662.4313391769393,16161,2025-02-14T12:35:15Z
22133,11,84,-77.0,2.0,10.5,68.05421675473247,0.0,4G,Operator A,101.592066,3.057131570000001,2.031802416,1.3118491620908863,2.568395893451678,221.23621739074292,391.00809626751675,22133,2024-12-31T12:25:37Z
22133,15,108,-78.0,7.0,11.0,69.80031976252613,23.5,4G,Operator A,101.592066,3.057131570000001,2.031802416,1.3118491620908863,2.568395893451678,221.23621739074292,391.00809626751675,22133,2025-01-16T13:33:00Z
22133,17,52,-82.0,6.0,9.0,153.71417361518303,32.0,4G,Operator A,101.592066,3.057131570000001,2.031802416,1.3118491620908863,2.568395893451678,221.23621739074292,391.00809626751675,22133,2025-02-14T12:32:49Z
22133,20,4,-80.0,7.0,12.0,219.2964684997837,26.5,4G,Operator A,101.592066,3.057131570000001,2.031802416,1.3118491620908863,2.568395893451678,221.23621739074292,391.00809626751675,22133,2025-03-06T11:48:17Z
35372,11,14,-80.5,2.5,9.0,62.003773295198954,34.5,4G,Operator A,101.5983979,3.06198269,2.388100624,2.6515405686855593,3.0715873287727726,57.7700610438949,871.0469559959896,35372,2024-12-31T12:28:41Z
35372,15,47,-81.0,11.0,9.0,203.08846209244035,37.0,4G,Operator A,101.5983979,3.06198269,2.388100624,2.6515405686855593,3.0715873287727726,57.7700610438949,871.0469559959896,35372,2025-01-16T13:35:34Z
35372,16,15,-103.0,3.0,6.0,228.73932603313258,25.0,4G,Operator A,101.5983979,3.06198269,2.388100624,2.6515405686855593,3.0715873287727726,57.7700610438949,871.0469559959896,35372,2025-01-27T14:31:50Z
35372,17,16,-84.0,4.5,8.5,136.33105470655605,36.0,4G,Operator A,101.5983979,3.06198269,2.388100624,2.6515405686855593,3.0715873287727726,57.7700610438949,871.0469559959896,35372,2025-02-14T12:35:27Z
35372,20,7,-77.0,2.0,9.0,559.5446502211503,45.0,4G,Operator A,101.5983979,3.06198269,2.388100624,2.6515405686855593,3.0715873287727726,57.7700610438949,871.0469559959896,35372,2025-03-06T11:48:52Z
35372,22,22,-103.0,1.0,6.0,224.96009810281075,16.0,4G,Operator A,101.5983979,3.06198269,2.388100624,2.6515405686855593,3.0715873287727726,57.7700610438949,871.0469559959896,35372,2025-03-20T13:42:21Z
36933,11,1,-79.0,-1.0,6.0,95.51707882493565,2.0,4G,Operator A,101.6124,3.0789034899999996,0.527772427,0.8022271439367415,1.0523406782809896,476.1168788329549,100.24216197432668,36933,2024-12-31T12:40:52Z
