osm_type,osm_id,lon,lat,man_made,tower_type,operator,name,radio,mobile_phone,tags_json,tower_id
node,10746755999,111.4340319,1.9704863,mast,communication,,,UNKNOWN,,"{""communication:television"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N10746755999
node,10746755997,111.4341438,1.9715791,mast,communication,,,UNKNOWN,,"{""communication:television"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N10746755997
node,10746755998,111.4361575,1.9710489,mast,communication,,,UNKNOWN,,"{""communication:television"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N10746755998
way,1425495547,111.4623347,1.2326335,tower,communication,,,UNKNOWN,yes,"{""building"": ""yes"", ""communication:mobile_phone"": ""yes"", ""communication:radio"": ""yes"", ""communication:television"": ""yes"", ""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_W1425495547
node,10780423481,111.4990916,1.6290076,mast,,,,UNKNOWN,,"{""man_made"": ""mast""}",MY_N10780423481
node,5257595022,111.5199367,2.131413,mast,communication,,Communication Tower,UNKNOWN,,"{""man_made"": ""mast"", ""name"": ""Communication Tower"", ""name:en"": ""Communication Tower"", ""tower:construction"": ""steel"", ""tower:type"": ""communication""}",MY_N5257595022
node,10771843285,111.5542928,1.0267176,mast,communication,,,UNKNOWN,,"{""communication:television"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N10771843285
node,11962284837,111.6326507,2.166531,mast,communication,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N11962284837
node,10780417393,111.648681,1.1541936,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""material"": ""steel"", ""tower:construction"": ""lattice"", ""tower:type"": ""communication""}",MY_N10780417393
node,9696620835,111.6561519,1.2219468,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N9696620835
node,5063253063,111.6779123,1.1290095,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N5063253063
node,6628565568,111.8478177,2.2691593,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:construction"": ""lattice_steel"", ""tower:type"": ""communication""}",MY_N6628565568
node,9810094393,111.9015007,2.0625819,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N9810094393
